from_txn_id,to_device_profile_id,newness,proxy_type,match_status,device_type
3000001,DP-2be871a3adbe7b2d,Found,,match_status:2,mobile
3000003,DP-61934688e850c59c,New,,,desktop
3000004,DP-61934688e850c59c,Found,,,desktop
3000008,DP-f357962139691e3c,Found,,,desktop
3000013,DP-828f9ca43b9c4058,Found,,match_status:2,desktop
3000014,DP-6219a6a1444505b7,,,,
3000016,DP-9069dfae433c9531,New,,,mobile
3000018,DP-61934688e850c59c,Found,,,desktop
3000019,DP-2b0b8f2c346eba51,New,,match_status:1,mobile
3000028,DP-2557d32c946e5be2,New,,match_status:2,mobile
3000029,DP-2557d32c946e5be2,Found,,match_status:2,mobile
3000038,DP-64297e91c550cb8e,New,,match_status:1,mobile
3000044,DP-f357962139691e3c,Found,,,desktop
3000057,DP-cbddb1bf22ef84ab,Found,,,mobile
3000061,DP-f357962139691e3c,Found,,,desktop
3000063,DP-d5fd1d524ffb80c3,New,,match_status:2,desktop
3000064,DP-829211ba8a258839,Found,,match_status:2,desktop
3000065,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3000075,DP-331fd6375ffb9bd5,New,,,mobile
3000077,DP-36f003e9e790dd1a,Found,,,desktop
3000078,DP-3af5209112683dc7,Unknown,,,mobile
3000079,DP-f24ade7c2e6d575f,Unknown,,,mobile
3000084,DP-db7e11caf8e145de,New,,,desktop
3000086,DP-661d5f194aef522a,Unknown,,match_status:1,mobile
3000087,DP-661d5f194aef522a,Unknown,,match_status:1,mobile
3000090,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3000093,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3000095,DP-61934688e850c59c,Found,,,desktop
3000101,DP-661d5f194aef522a,Unknown,,match_status:1,mobile
3000102,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3000103,DP-661d5f194aef522a,Unknown,,match_status:1,mobile
3000105,DP-7a4ce4e4d5dccaaf,New,,match_status:1,mobile
3000107,DP-661d5f194aef522a,Unknown,,match_status:1,mobile
3000113,DP-3af5209112683dc7,Unknown,,,mobile
3000120,DP-2f0d38e91a2d0e79,Unknown,,,mobile
3000123,DP-3cef221341913669,New,,,mobile
3000127,DP-f357962139691e3c,New,,,desktop
3000128,DP-ce69d00ba9811adb,Found,,match_status:2,desktop
3000135,DP-55272844a9d1b0f4,Found,,match_status:2,desktop
3000138,DP-f357962139691e3c,New,,,desktop
3000139,DP-2b745079d2b55d38,New,,,desktop
3000150,DP-17d90e4c3deb25e8,Unknown,,match_status:1,mobile
3000152,DP-2b0b8f2c346eba51,Found,IP_PROXY:TRANSPARENT,,mobile
3000155,DP-4b4cedaccf4e93b2,New,,match_status:2,mobile
3000156,DP-a838bd86ba7ff141,Found,,match_status:2,desktop
3000158,DP-2b0b8f2c346eba51,Found,IP_PROXY:TRANSPARENT,,mobile
3000164,DP-f357962139691e3c,New,,,desktop
3000171,DP-0c6974617c7255af,New,,match_status:2,mobile
3000172,DP-c5269bcdb392cfb4,New,,,mobile
3000174,DP-3ec225c0ccc8363b,Found,,match_status:2,desktop
3000175,DP-04d05e8072f67fff,New,,match_status:2,desktop
3000178,DP-f357962139691e3c,Found,,,desktop
3000179,DP-06b586604af20226,Found,,match_status:2,desktop
3000181,DP-3ad8ae275b0e6909,Found,,match_status:2,mobile
3000182,DP-ba445900b6e2ec02,New,,match_status:2,mobile
3000184,DP-3af5209112683dc7,Unknown,,,mobile
3000186,DP-f357962139691e3c,Found,,,desktop
3000190,DP-ef6322bed0909077,New,,,mobile
3000192,DP-3af5209112683dc7,Unknown,,,mobile
3000195,DP-3af5209112683dc7,Unknown,,,mobile
3000196,DP-8489e743e9e1f231,Found,,,desktop
3000197,DP-3909ab6f9c5b34cf,Found,,,mobile
3000202,DP-6219a6a1444505b7,,,,
3000204,DP-b8491841a81ab3a7,New,,,mobile
3000205,DP-e7786fd0a5a5ff4a,New,,match_status:2,desktop
3000212,DP-7456ecfa17191abf,Found,,match_status:2,mobile
3000216,DP-ce69d00ba9811adb,Found,,match_status:2,desktop
3000217,DP-f357962139691e3c,New,,,desktop
3000220,DP-3af7d8e41c2fa51f,New,,match_status:2,desktop
3000225,DP-eaf13c7231f09c00,New,,match_status:2,desktop
3000226,DP-1e82d3dedabecfcd,New,,match_status:2,desktop
3000227,DP-1fc0ba4f3badfd4c,Found,,,mobile
3000228,DP-829211ba8a258839,New,,match_status:2,desktop
3000229,DP-bd2c5de2befdc7af,New,,match_status:2,desktop
3000230,DP-7ffb6b7c2801dd6e,New,,match_status:2,mobile
3000232,DP-8489e743e9e1f231,New,,,desktop
3000234,DP-36f003e9e790dd1a,New,,,desktop
3000237,DP-2ac6baa2d5526a03,Found,,,mobile
3000239,DP-ce69d00ba9811adb,New,,match_status:2,desktop
3000240,DP-19077164fbe27c64,New,,match_status:2,desktop
3000242,DP-8489e743e9e1f231,Found,,,desktop
3000245,DP-7ffb6b7c2801dd6e,Found,,match_status:2,mobile
3000247,DP-f357962139691e3c,Found,,,desktop
3000250,DP-f357962139691e3c,Found,,,desktop
3000256,DP-ce69d00ba9811adb,Found,,match_status:2,desktop
3000264,DP-4d471fe7671da769,Found,,match_status:2,desktop
3000265,DP-e7786fd0a5a5ff4a,Found,,match_status:1,desktop
3000267,DP-ce69d00ba9811adb,New,,match_status:2,desktop
3000272,DP-829211ba8a258839,Unknown,,match_status:2,desktop
3000274,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3000275,DP-4d471fe7671da769,Found,,match_status:2,desktop
3000280,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3000284,DP-b4bd08b8d6d9fe74,Unknown,,match_status:2,mobile
3000291,DP-61934688e850c59c,New,,,desktop
3000293,DP-64297e91c550cb8e,New,,match_status:1,mobile
3000296,DP-5c79f4ca2264ec08,Found,,match_status:2,desktop
3000299,DP-ce69d00ba9811adb,New,,match_status:2,desktop
3000303,DP-681007849b9f23cb,New,,match_status:2,mobile
3000305,DP-61934688e850c59c,New,,,desktop
3000306,DP-ce69d00ba9811adb,New,,match_status:2,desktop
3000312,DP-f357962139691e3c,New,,,desktop
3000314,DP-1cfd5188f736397d,New,,,mobile
3000316,DP-64297e91c550cb8e,New,,match_status:1,mobile
3000317,DP-f357962139691e3c,New,,,desktop
3000319,DP-7363d1902d28d2c8,New,,match_status:1,mobile
3000321,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3000322,DP-24e7e55664a9e753,New,,,mobile
3000333,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3000365,DP-56c9b2f3416a8a7b,New,,match_status:1,mobile
3000366,DP-163813717df3c29c,New,,match_status:2,mobile
3000381,DP-4eb49a8047151f91,New,,,mobile
3000391,DP-325a6a2f40e252e8,Found,,match_status:2,desktop
3000400,DP-e79da7c9531e58b8,New,,match_status:1,mobile
3000403,DP-f60b3bb682a77e5f,Found,,,mobile
3000447,DP-df9b106a3dd4982b,Found,IP_PROXY:ANONYMOUS,,mobile
3000511,DP-eaf13c7231f09c00,New,,match_status:2,desktop
3000519,DP-fba39238235de312,New,,,mobile
3000581,DP-f51825a694a2e557,New,,match_status:2,desktop
3000586,DP-f51825a694a2e557,Found,,match_status:2,desktop
3000591,DP-2c3652ae19c1673a,Found,,match_status:2,desktop
3000609,DP-4835ace18ee62662,New,,match_status:1,mobile
3000613,DP-9dcaed5abedd77c2,Found,,match_status:2,mobile
3000622,DP-9dcaed5abedd77c2,New,,match_status:2,mobile
3000629,DP-48db3d6a56bdcf7a,New,,match_status:1,mobile
3000632,DP-2b745079d2b55d38,Found,,match_status:2,desktop
3000639,DP-534cca88bee52149,New,,match_status:2,desktop
3000645,DP-844b652163a04358,Found,,match_status:2,desktop
3000648,DP-da89442b6c616605,New,,match_status:1,mobile
3000649,DP-da89442b6c616605,New,,match_status:1,mobile
3000681,DP-d44670203cb37a73,New,,match_status:1,desktop
3000683,DP-64297e91c550cb8e,New,,match_status:1,mobile
3000691,DP-6219a6a1444505b7,,,,
3000693,DP-4d471fe7671da769,Found,,match_status:2,desktop
3000694,DP-8ede1a271e9c37aa,New,,match_status:1,mobile
3000705,DP-e7786fd0a5a5ff4a,Found,,match_status:2,desktop
3000715,DP-29680bf3ef9a4535,Found,,match_status:2,desktop
3000718,DP-f2f16da4626a9548,Found,,match_status:2,desktop
3000722,DP-f51825a694a2e557,Found,,match_status:2,desktop
3000733,DP-29680bf3ef9a4535,Found,,match_status:2,desktop
3000736,DP-f357962139691e3c,Found,,,desktop
3000737,DP-1f9f1d2fc40ab725,Unknown,,match_status:1,mobile
3000741,DP-3058d0d6bf5d7209,New,,match_status:2,desktop
3000765,DP-362cfb5dfd65e30e,Found,,match_status:1,mobile
3000766,DP-36f003e9e790dd1a,Found,,,desktop
3000768,DP-08f488954aafda63,Found,,,desktop
3000769,DP-8138cddf1cd39363,New,,match_status:2,desktop
3000778,DP-7e0cc5080f492e87,Found,,match_status:2,desktop
3000780,DP-362cfb5dfd65e30e,Found,,match_status:1,mobile
3000781,DP-97a6e76f794f1e16,Found,,match_status:2,desktop
3000784,DP-2b0b8f2c346eba51,New,,match_status:1,mobile
3000791,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3000795,DP-3208572949c7c8ea,New,,match_status:2,mobile
3000805,DP-f357962139691e3c,New,,,desktop
3000812,DP-6d3af844660bf8b9,New,,match_status:2,desktop
3000813,DP-37a11416ceda47c2,New,,match_status:2,desktop
3000815,DP-f357962139691e3c,Found,,,desktop
3000821,DP-5e50706d005fbcc7,Found,,match_status:2,desktop
