from_case_id,to_txn_id,is_first_fraud,sequence_in_case
CC-0001,3000120,True,1
CC-0002,3000332,True,1
CC-0003,3000607,False,1
CC-0004,3000906,True,1
CC-0004,3001040,False,2
CC-0005,3000183,True,1
CC-0006,3001230,True,1
CC-0007,3000264,True,1
CC-0008,3001018,True,1
CC-0009,3002486,False,1
CC-0010,3002792,False,1
CC-0011,3000989,True,1
CC-0012,3002019,True,1
CC-0013,3002951,True,1
CC-0014,3002010,True,1
CC-0015,3002758,False,1
CC-0016,3001839,True,1
CC-0017,3003172,False,1
CC-0018,3001565,True,1
CC-0019,3002476,True,1
CC-0020,3000808,True,1
CC-0020,3000825,False,2
CC-0020,3003871,False,3
CC-0020,3003906,False,4
CC-0021,3003708,False,1
CC-0022,3001611,True,1
CC-0023,3004228,False,1
CC-0024,3003459,True,1
CC-0024,3003503,False,2
CC-0025,3003546,True,1
CC-0026,3004354,False,1
CC-0027,3003757,True,1
CC-0028,3003607,True,1
CC-0029,3000150,True,1
CC-0029,3002210,False,2
CC-0029,3002242,False,3
CC-0030,3003913,True,1
CC-0031,3001820,True,1
CC-0032,3005276,False,1
CC-0033,3001937,True,1
CC-0033,3001952,False,2
CC-0033,3001999,False,3
CC-0034,3005972,False,1
CC-0035,3004895,True,1
CC-0036,3003325,True,1
CC-0037,3006461,False,1
CC-0038,3006275,False,1
CC-0039,3004695,True,1
CC-0040,3006416,False,1
CC-0041,3003842,True,1
CC-0042,3006354,False,1
CC-0043,3002981,True,1
CC-0044,3005476,True,1
CC-0045,3001632,True,1
CC-0045,3002781,False,2
CC-0045,3003811,False,3
CC-0045,3005310,False,4
CC-0046,3002840,True,1
CC-0047,3002820,True,1
CC-0047,3002828,False,2
CC-0047,3004711,False,3
CC-0047,3004734,False,4
CC-0047,3004746,False,5
CC-0048,3006432,True,1
CC-0049,3004818,True,1
CC-0049,3004823,False,2
CC-0050,3006044,True,1
CC-0051,3006772,True,1
CC-0051,3006774,False,2
CC-0052,3004914,True,1
CC-0053,3006690,True,1
CC-0054,3004838,True,1
CC-0055,3005851,True,1
CC-0056,3003521,True,1
CC-0057,3006366,True,1
CC-0058,3007307,False,1
CC-0059,3000904,True,1
CC-0059,3001479,False,2
CC-0059,3005523,False,3
CC-0059,3005542,False,4
CC-0060,3003331,True,1
CC-0060,3003334,False,2
CC-0061,3006964,False,1
CC-0062,3003096,True,1
CC-0062,3003109,False,2
CC-0062,3003149,False,3
CC-0062,3006742,False,4
CC-0063,3000256,True,1
CC-0063,3001075,False,2
CC-0063,3005210,False,3
CC-0063,3006200,False,4
CC-0063,3006850,False,5
CC-0063,3006853,False,6
CC-0063,3006859,False,7
CC-0063,3006872,False,8
CC-0063,3006996,False,9
CC-0063,3007008,False,10
CC-0063,3007451,False,11
CC-0063,3007722,False,12
CC-0064,3004342,True,1
CC-0064,3004343,False,2
CC-0065,3007293,False,1
CC-0066,3008267,False,1
CC-0067,3005969,True,1
CC-0067,3005996,False,2
CC-0067,3006014,False,3
CC-0068,3008568,False,1
CC-0069,3007099,False,1
CC-0070,3004140,True,1
CC-0071,3005539,True,1
CC-0072,3005146,True,1
CC-0073,3008421,True,1
CC-0074,3008726,True,1
CC-0075,3006561,True,1
CC-0076,3004802,True,1
CC-0076,3004910,False,2
CC-0077,3009019,False,1
CC-0078,3005866,True,1
CC-0078,3006663,False,2
CC-0079,3002258,True,1
CC-0079,3005470,False,2
CC-0080,3004998,True,1
CC-0081,3005023,True,1
CC-0082,3008084,False,1
CC-0083,3009363,False,1
CC-0084,3007469,True,1
CC-0084,3007992,False,2
