from_txn_id,to_txn_id,time_delta_hours,amount_ratio,channel_change
3000001,3010642,87.4078,4.9982,False
3000002,3002939,30.025,3.9138,False
3000003,3000004,0.0244,1.0001,False
3000004,3000018,0.1369,0.9998,False
3000005,3000012,0.0528,9.1944,False
3000006,3040430,269.8711,2.1373,False
3000007,3000048,0.4928,0.4533,False
3000008,3000016,0.0794,1.9937,False
3000009,3000296,4.4619,0.9175,True
3000010,3000065,0.6139,0.5643,True
3000011,3000030,0.2922,2.7757,False
3000012,3000131,1.2392,0.1978,False
3000013,3000014,0.0019,1.3353,False
3000014,3000033,0.2897,0.4988,True
3000015,3001026,16.8556,16.4345,False
3000016,3000020,0.0508,0.625,False
3000017,3000040,0.3206,0.7945,False
3000018,3000184,1.9697,0.9998,False
3000019,3000037,0.24,0.5203,True
3000020,3000041,0.3067,0.3934,False
3000021,3000054,0.3781,5.1628,False
3000022,3000743,14.6019,11.5057,False
3000023,3143300,812.8589,0.7436,False
3000024,3001463,19.4644,0.5771,False
3000025,3000035,0.0719,1.1077,False
3000026,3000281,3.7047,0.4501,False
3000027,3014152,111.2278,0.8766,False
3000028,3000029,0.0108,1.0003,False
3000029,3000032,0.0122,3.8001,True
3000030,3000052,0.2183,0.329,False
3000031,3000243,2.6697,0.9015,False
3000032,3000139,1.0672,0.3291,True
3000033,3000036,0.0281,0.5027,False
3000034,3000062,0.2825,1.4505,False
3000035,3000497,10.9108,0.0867,False
3000036,3000039,0.0258,2.7278,False
3000037,3000090,0.5322,1.2834,True
3000038,3000142,1.055,0.8393,True
3000039,3000059,0.2172,6.5013,False
3000040,3000144,1.035,3.2041,False
3000041,3000057,0.1386,2.5887,False
3000042,3000124,0.7617,1.8616,False
3000043,3000102,0.57,0.1755,True
3000044,3000234,2.3517,11.4729,False
3000045,3000091,0.4286,0.1945,False
3000046,3000302,4.1464,1.3562,False
3000047,3000049,0.0058,0.8949,False
3000048,3000846,15.1364,33.1995,False
3000049,3001108,17.0303,0.3433,False
3000050,3000072,0.235,1.0966,False
3000051,3000263,3.1097,0.8321,False
3000052,3000067,0.1431,9.2798,False
3000053,3000110,0.5286,0.1707,False
3000054,3000152,1.0036,0.2158,True
3000055,3002848,28.0411,1.1569,False
3000056,3000073,0.1889,0.6597,False
3000057,3000078,0.2342,1.28,False
3000058,3001891,22.1581,0.4339,False
3000059,3000068,0.1044,0.2066,False
3000060,3007492,63.9172,0.164,True
3000061,3001790,21.4589,0.6136,False
3000062,3001493,19.3386,10.3399,False
3000063,3000781,14.4881,0.5008,False
3000064,3003246,36.8631,1.5004,False
3000065,3000528,11.6936,0.6826,True
3000066,3012534,94.8956,3.7702,False
3000067,3000076,0.1081,0.0955,False
3000068,3000183,1.3647,0.4343,False
3000069,3000135,0.6203,0.4606,True
3000070,3017204,123.5386,0.948,True
3000071,3000690,13.5258,3.5957,False
3000072,3000098,0.2081,1.0,False
3000073,3000086,0.0928,3.2118,True
3000074,3000085,0.08,1.0,False
3000075,3004718,43.0681,9.0621,True
3000076,3000100,0.2019,1.2583,False
3000077,3003233,36.5472,2.3786,False
3000078,3000079,0.0003,1.661,False
3000079,3000093,0.1042,0.4425,False
3000080,3000720,13.8086,0.2864,False
3000081,3000271,2.8753,0.1409,False
3000082,3000125,0.3781,0.0998,False
3000083,3001177,17.0781,1.5712,False
3000084,3001331,18.0792,0.2393,False
3000085,3000411,6.5072,0.9802,False
3000086,3000087,0.0044,1.0006,False
3000087,3000101,0.1642,1.0001,False
3000088,3000096,0.0747,0.5372,False
3000089,3003431,37.9361,0.7077,False
3000090,3000162,0.8083,0.6979,True
3000091,3000191,1.3414,1.3166,False
3000092,3005030,44.1047,0.2994,False
3000093,3000113,0.2142,1.3611,False
3000094,3002500,24.9919,0.8959,False
3000095,3004024,40.3175,0.2042,False
3000096,3000148,0.5506,1.5282,False
