from_case_id,to_txn_id,trigger_type,risk_score
HHG-001,3514030,risk_score,0.61
HHG-002,3478782,risk_score,0.79
HHG-003,3530164,customer_report,-1.0
HHG-004,3583227,customer_report,-1.0
HHG-005,3523199,risk_score,0.54
HHG-006,3476682,customer_report,-1.0
HHG-007,3514948,risk_score,0.87
HHG-008,3558054,customer_report,-1.0
HHG-009,3581141,customer_report,-1.0
HHG-010,3506725,risk_score,0.9
HHG-011,3583368,customer_report,-1.0
HHG-012,3553342,risk_score,0.55
HHG-013,3526826,risk_score,0.76
HHG-014,3478561,analyst_request,-1.0
HHG-015,3464869,risk_score,0.77
HHG-016,3534820,customer_report,-1.0
HHG-017,3450629,risk_score,0.57
HHG-018,3491361,customer_report,-1.0
HHG-019,3503878,risk_score,0.9
HHG-020,3509359,risk_score,0.52
