region_code,country_code,is_home_region,customer_count,card_count,txn_count
100.0,31.0,False,13,13,26
101.0,14.0,False,1,1,1
102.0,96.0,False,4,4,13
104.0,87.0,True,6,6,8
105.0,87.0,True,3,3,3
106.0,87.0,True,15,15,20
110.0,87.0,True,375,375,3223
111.0,16.0,False,1,1,2
112.0,29.0,False,1,1,2
113.0,87.0,True,1,1,1
117.0,101.0,False,1,1,1
119.0,32.0,False,2,2,3
120.0,96.0,False,1,1,1
122.0,87.0,True,157,157,1617
123.0,87.0,True,1012,1012,16110
124.0,60.0,False,1,1,1
125.0,87.0,True,2,2,4
126.0,87.0,True,1017,1017,15249
127.0,87.0,True,1,1,1
128.0,87.0,True,1,1,1
129.0,32.0,False,1,1,1
130.0,60.0,False,64,64,342
131.0,101.0,False,1,1,1
132.0,65.0,False,1,1,1
133.0,87.0,True,1,1,1
134.0,87.0,True,8,8,11
137.0,71.0,False,1,1,1
139.0,65.0,False,1,1,1
141.0,88.0,False,2,2,2
142.0,87.0,True,10,10,16
143.0,87.0,True,795,795,9810
144.0,87.0,True,2,2,3
145.0,32.0,False,1,1,3
146.0,60.0,False,2,2,2
148.0,60.0,False,32,32,96
151.0,27.0,False,1,1,1
152.0,16.0,False,4,4,7
153.0,96.0,False,1,1,1
154.0,32.0,False,8,8,13
155.0,60.0,False,13,13,18
156.0,87.0,True,1,1,1
157.0,87.0,True,37,37,170
158.0,87.0,True,185,185,1562
159.0,87.0,True,5,5,5
160.0,87.0,True,2,2,2
161.0,60.0,False,62,62,422
162.0,71.0,False,1,1,1
163.0,31.0,False,1,1,1
164.0,15.0,False,1,1,1
166.0,87.0,True,1,1,1
167.0,60.0,False,27,27,57
168.0,87.0,True,1,1,3
170.0,87.0,True,296,296,2003
171.0,96.0,False,8,8,12
172.0,31.0,False,2,2,3
174.0,87.0,True,2,2,2
177.0,87.0,True,574,574,4674
178.0,87.0,True,1,1,1
180.0,87.0,True,1,1,1
181.0,87.0,True,1061,1061,13863
182.0,73.0,False,1,1,1
183.0,26.0,False,1,1,1
184.0,87.0,True,1016,1016,15168
185.0,59.0,False,1,1,1
187.0,88.0,False,1,1,1
189.0,65.0,False,1,1,1
190.0,26.0,False,1,1,1
191.0,87.0,True,1002,1002,14990
193.0,87.0,True,3,3,3
194.0,87.0,True,244,244,1572
195.0,18.0,False,1,1,1
196.0,87.0,True,1,1,1
198.0,87.0,True,2,2,3
199.0,87.0,True,5,5,13
200.0,26.0,False,1,1,1
201.0,87.0,True,3,3,3
202.0,87.0,True,5,5,5
203.0,87.0,True,385,385,3811
204.0,87.0,True,1939,1939,42035
205.0,87.0,True,569,569,5725
206.0,87.0,True,1,1,1
208.0,87.0,True,2,2,2
210.0,60.0,False,5,5,7
211.0,24.0,False,1,1,1
213.0,60.0,False,1,1,1
214.0,26.0,False,1,1,2
215.0,87.0,True,1,1,2
216.0,60.0,False,26,26,54
217.0,32.0,False,1,1,1
218.0,32.0,False,1,1,6
219.0,16.0,False,1,1,1
220.0,87.0,True,467,467,5041
221.0,65.0,False,6,6,8
223.0,87.0,True,1,1,1
224.0,87.0,True,2,2,2
225.0,87.0,True,619,619,5325
226.0,87.0,True,560,560,4869
227.0,87.0,True,1,1,1
231.0,87.0,True,595,595,7606
232.0,87.0,True,1,1,1
233.0,101.0,False,1,1,1
234.0,87.0,True,1,1,1
235.0,31.0,False,1,1,1
236.0,96.0,False,3,3,3
237.0,87.0,True,1,1,1
238.0,60.0,False,1,1,1
239.0,60.0,False,22,22,31
241.0,96.0,False,1,1,1
242.0,60.0,False,28,28,84
243.0,60.0,False,1,1,1
244.0,59.0,False,1,1,1
245.0,87.0,True,1,1,1
247.0,87.0,True,6,6,7
248.0,31.0,False,1,1,1
249.0,60.0,False,1,1,1
250.0,87.0,True,3,3,3
251.0,87.0,True,491,491,5220
252.0,60.0,False,2,2,2
253.0,87.0,True,191,191,1058
254.0,87.0,True,25,25,68
255.0,87.0,True,1,1,1
257.0,60.0,False,1,1,1
258.0,60.0,False,22,22,38
259.0,87.0,True,1,1,3
260.0,87.0,True,6,6,6
261.0,16.0,False,1,1,1
262.0,24.0,False,1,1,1
264.0,87.0,True,1862,1862,39876
265.0,87.0,True,3,3,4
268.0,87.0,True,1,1,1
269.0,87.0,True,620,620,6404
270.0,59.0,False,2,2,3
272.0,87.0,True,1268,1268,20143
274.0,87.0,True,2,2,2
275.0,87.0,True,16,16,18
276.0,87.0,True,2,2,5
277.0,87.0,True,3,3,3
278.0,87.0,True,1,1,1
279.0,60.0,False,1,1,1
280.0,83.0,False,1,1,1
282.0,87.0,True,1,1,1
283.0,24.0,False,1,1,1
284.0,60.0,False,117,117,775
286.0,87.0,True,2,2,2
290.0,60.0,False,2,2,2
292.0,30.0,False,1,1,1
294.0,87.0,True,1,1,3
295.0,87.0,True,1,1,4
296.0,65.0,False,198,198,367
297.0,87.0,True,6,6,8
298.0,60.0,False,1,1,1
299.0,87.0,True,2006,2006,46339
300.0,87.0,True,2,2,6
301.0,87.0,True,3,3,3
302.0,60.0,False,1,1,1
303.0,40.0,False,1,1,2
304.0,60.0,False,1,1,2
305.0,60.0,False,4,4,9
306.0,31.0,False,1,1,1
307.0,16.0,False,1,1,4
308.0,87.0,True,199,199,1283
309.0,87.0,True,1,1,1
310.0,87.0,True,670,670,8486
312.0,13.0,False,1,1,1
313.0,87.0,True,1,1,1
314.0,96.0,False,2,2,3
315.0,87.0,True,1332,1332,23086
316.0,87.0,True,1,1,1
318.0,87.0,True,1,1,1
321.0,87.0,True,1,1,2
322.0,87.0,True,3,3,3
323.0,102.0,False,1,1,1
324.0,87.0,True,268,268,2173
325.0,87.0,True,1645,1645,42753
326.0,59.0,False,1,1,1
327.0,87.0,True,804,804,8438
328.0,87.0,True,1,1,1
329.0,87.0,True,1,1,1
330.0,87.0,True,1410,1410,26303
331.0,31.0,False,1,1,1
332.0,60.0,False,14,14,19
333.0,16.0,False,1,1,1
335.0,43.0,False,1,1,1
337.0,87.0,True,1120,1120,15150
338.0,60.0,False,1,1,1
339.0,60.0,False,2,2,2
340.0,87.0,True,1,1,1
341.0,16.0,False,2,2,3
343.0,87.0,True,243,243,1734
345.0,26.0,False,1,1,4
346.0,60.0,False,9,9,10
347.0,98.0,False,1,1,1
348.0,96.0,False,40,40,87
349.0,96.0,False,3,3,5
351.0,96.0,False,1,1,2
352.0,59.0,False,1,1,1
353.0,87.0,True,1,1,1
356.0,96.0,False,47,47,91
358.0,87.0,True,1,1,1
359.0,60.0,False,13,13,18
360.0,21.0,False,1,1,4
361.0,87.0,True,1,1,1
365.0,60.0,False,1,1,1
366.0,60.0,False,3,3,7
368.0,87.0,True,1,1,1
369.0,87.0,True,2,2,3
371.0,26.0,False,5,5,8
372.0,72.0,False,1,1,2
373.0,87.0,True,2,2,2
374.0,60.0,False,12,12,14
375.0,60.0,False,15,15,22
376.0,87.0,True,1,1,1
377.0,87.0,True,1,1,1
379.0,87.0,True,2,2,2
381.0,87.0,True,2,2,2
382.0,31.0,False,1,1,1
384.0,87.0,True,264,264,1671
385.0,96.0,False,3,3,4
386.0,72.0,False,1,1,1
387.0,87.0,True,788,788,8188
389.0,21.0,False,1,1,1
390.0,87.0,True,1,1,1
391.0,60.0,False,19,19,35
393.0,60.0,False,9,9,10
395.0,32.0,False,1,1,1
396.0,87.0,True,2,2,2
397.0,87.0,True,1,1,1
399.0,60.0,False,4,4,5
400.0,87.0,True,1,1,1
401.0,60.0,False,1,1,1
402.0,66.0,False,1,1,1
403.0,19.0,False,2,2,3
404.0,87.0,True,6,6,8
406.0,60.0,False,2,2,2
408.0,96.0,False,3,3,5
409.0,87.0,True,7,7,9
410.0,87.0,True,15,15,43
411.0,60.0,False,7,7,14
416.0,16.0,False,1,1,1
417.0,87.0,True,1,1,1
418.0,87.0,True,42,42,101
420.0,87.0,True,439,439,3589
425.0,16.0,False,1,1,1
426.0,96.0,False,19,19,32
427.0,60.0,False,1,1,1
428.0,87.0,True,232,232,1429
429.0,87.0,True,3,3,3
430.0,13.0,False,2,2,5
431.0,60.0,False,14,14,38
432.0,96.0,False,23,23,38
433.0,87.0,True,698,698,7831
434.0,25.0,False,1,1,1
435.0,87.0,True,7,7,11
436.0,87.0,True,468,468,3172
439.0,60.0,False,2,2,2
441.0,87.0,True,1118,1118,20834
443.0,60.0,False,8,8,23
444.0,87.0,True,296,296,2033
445.0,87.0,True,5,5,6
446.0,60.0,False,1,1,1
448.0,87.0,True,159,159,925
450.0,60.0,False,1,1,1
451.0,13.0,False,1,1,1
452.0,60.0,False,4,4,8
453.0,60.0,False,14,14,21
454.0,69.0,False,2,2,2
456.0,31.0,False,1,1,3
457.0,19.0,False,1,1,1
458.0,87.0,True,1,1,1
459.0,87.0,True,1,1,7
462.0,59.0,False,1,1,1
463.0,87.0,True,1,1,1
464.0,16.0,False,1,1,1
465.0,60.0,False,99,99,503
466.0,60.0,False,2,2,2
467.0,65.0,False,1,1,1
468.0,59.0,False,1,1,2
469.0,87.0,True,466,466,2940
470.0,78.0,False,2,2,2
471.0,60.0,False,2,2,2
472.0,87.0,True,773,773,8480
474.0,102.0,False,1,1,4
476.0,87.0,True,748,748,9480
477.0,19.0,False,2,2,3
478.0,87.0,True,6,6,9
479.0,96.0,False,9,9,13
481.0,87.0,True,1,1,1
482.0,16.0,False,2,2,6
483.0,60.0,False,13,13,23
485.0,87.0,True,481,481,6816
486.0,60.0,False,23,23,54
488.0,26.0,False,1,1,1
489.0,31.0,False,1,1,1
491.0,87.0,True,5,5,7
492.0,87.0,True,159,159,987
493.0,32.0,False,1,1,1
494.0,87.0,True,364,364,5065
496.0,60.0,False,6,6,7
498.0,87.0,True,495,495,4744
499.0,87.0,True,12,12,26
500.0,16.0,False,2,2,2
501.0,60.0,False,3,3,4
502.0,87.0,True,94,94,837
503.0,87.0,True,1,1,1
504.0,16.0,False,7,7,10
505.0,16.0,False,1,1,1
506.0,66.0,False,1,1,1
507.0,60.0,False,2,2,4
508.0,60.0,False,25,25,70
509.0,87.0,True,2,2,3
511.0,60.0,False,47,47,157
