card_id,card1_num,customer_id
C00001-K1,10859,C00001
C00002-K1,11708,C00002
C00003-K1,20184,C00003
C00004-K1,14056,C00004
C00005-K1,17978,C00005
C00006-K1,21464,C00006
C00007-K1,15316,C00007
C00008-K2,10583,C00008
C00009-K1,17267,C00009
C00010-K1,15641,C00010
C00011-K1,16584,C00011
C00012-K1,13486,C00012
C00013-K1,19046,C00013
C00014-K1,12342,C00014
C00015-K1,17172,C00015
C00016-K1,11923,C00016
C00017-K1,12627,C00017
C00018-K1,15017,C00018
C00019-K1,13022,C00019
C00020-K1,20865,C00020
C00021-K1,14680,C00021
C00022-K1,15055,C00022
C00023-K1,11791,C00023
C00024-K1,23250,C00024
C00025-K1,11373,C00025
C00026-K1,23113,C00026
C00027-K1,22934,C00027
C00028-K1,20791,C00028
C00029-K1,10731,C00029
C00030-K1,22130,C00030
C00031-K1,20493,C00031
C00032-K1,22415,C00032
C00033-K1,13587,C00033
C00034-K1,12685,C00034
C00035-K1,20071,C00035
C00036-K1,11005,C00036
C00037-K1,17510,C00037
C00038-K1,16123,C00038
C00039-K1,20516,C00039
C00040-K1,19058,C00040
C00041-K1,11340,C00041
C00042-K1,12285,C00042
C00043-K1,14045,C00043
C00044-K1,18404,C00044
C00045-K1,21537,C00045
C00046-K1,17735,C00046
C00047-K1,12344,C00047
C00048-K1,16271,C00048
C00049-K1,20308,C00049
C00050-K1,18770,C00050
C00051-K1,18038,C00051
C00052-K1,18943,C00052
C00053-K1,19448,C00053
C00054-K1,17561,C00054
C00055-K1,22636,C00055
C00056-K1,18079,C00056
C00057-K1,15385,C00057
C00058-K1,15349,C00058
C00059-K2,21826,C00059
C00060-K1,16087,C00060
C00061-K1,21836,C00061
C00062-K1,13912,C00062
C00063-K1,17420,C00063
C00064-K1,15329,C00064
C00065-K1,19270,C00065
C00066-K1,13368,C00066
C00067-K1,20290,C00067
C00068-K1,14129,C00068
C00069-K1,18195,C00069
C00070-K1,18785,C00070
C00071-K1,20969,C00071
C00072-K1,12282,C00072
C00073-K2,17304,C00073
C00074-K1,11152,C00074
C00075-K1,16971,C00075
C00076-K1,18703,C00076
C00077-K1,11606,C00077
C00078-K1,13297,C00078
C00079-K1,22236,C00079
C00080-K1,12284,C00080
C00081-K1,10465,C00081
C00082-K1,22960,C00082
C00083-K1,16723,C00083
C00084-K1,10451,C00084
C00085-K1,23143,C00085
C00086-K1,16655,C00086
C00087-K1,19350,C00087
C00088-K1,19163,C00088
C00089-K1,18634,C00089
C00090-K1,16189,C00090
C00091-K1,16998,C00091
C00092-K1,22321,C00092
C00093-K1,22547,C00093
C00094-K3,16429,C00094
C00095-K1,12490,C00095
C00096-K1,18055,C00096
C00097-K1,21818,C00097
C00098-K1,12400,C00098
C00099-K1,23446,C00099
C00100-K1,16864,C00100
C00101-K1,14535,C00101
C00102-K1,17479,C00102
C00103-K1,17560,C00103
C00104-K1,12278,C00104
C00105-K1,14077,C00105
C00106-K1,17101,C00106
C00107-K1,15729,C00107
C00108-K1,12734,C00108
C00109-K1,21599,C00109
C00110-K1,11043,C00110
C00111-K1,16066,C00111
C00112-K1,18490,C00112
C00113-K1,20137,C00113
C00114-K1,18692,C00114
C00115-K1,10790,C00115
C00116-K1,17087,C00116
C00117-K1,15773,C00117
C00118-K1,18205,C00118
C00119-K1,12784,C00119
C00120-K1,12710,C00120
C00121-K1,16506,C00121
C00122-K1,20919,C00122
C00123-K1,21354,C00123
C00124-K1,14096,C00124
C00125-K1,15743,C00125
C00126-K1,19537,C00126
C00127-K1,14563,C00127
C00128-K1,14149,C00128
C00129-K2,15785,C00129
C00130-K1,15461,C00130
C00131-K1,14069,C00131
C00132-K1,21544,C00132
C00133-K1,16424,C00133
C00134-K1,16055,C00134
C00135-K1,18074,C00135
C00136-K1,11992,C00136
C00137-K1,10475,C00137
C00138-K1,13416,C00138
C00139-K1,18509,C00139
C00140-K1,20630,C00140
C00141-K1,14229,C00141
C00142-K1,10448,C00142
C00143-K1,22170,C00143
C00144-K1,21108,C00144
C00145-K1,15492,C00145
C00146-K1,11179,C00146
C00147-K1,16194,C00147
C00148-K1,23003,C00148
C00149-K1,12862,C00149
C00150-K1,17192,C00150
C00151-K1,20044,C00151
C00152-K1,19893,C00152
C00153-K1,19008,C00153
C00154-K1,23358,C00154
C00155-K1,19981,C00155
C00156-K1,20481,C00156
C00157-K1,15964,C00157
C00158-K1,23468,C00158
C00159-K1,17478,C00159
C00160-K1,16049,C00160
C00161-K1,10902,C00161
C00162-K1,20088,C00162
C00163-K1,18680,C00163
C00164-K1,22964,C00164
C00165-K1,20852,C00165
C00166-K1,23481,C00166
C00167-K1,17909,C00167
C00168-K1,21886,C00168
C00169-K1,16615,C00169
C00170-K1,21693,C00170
C00171-K1,22269,C00171
C00172-K1,13151,C00172
C00173-K1,19973,C00173
C00174-K1,16276,C00174
C00175-K1,16736,C00175
C00176-K1,16517,C00176
