customer_id,total_txns,online_txns,in_person_txns,region_count,avg_amount,max_amount,first_ts,last_ts
C00001,2,2,0,1,124.965,150.02,2016-07-21 23:25:30,2016-07-22 13:29:56
C00002,1,1,0,1,249.91,249.91,2016-07-18 16:55:31,2016-07-18 16:55:31
C00003,1,1,0,1,199.95,199.95,2016-11-19 01:25:05,2016-11-19 01:25:05
C00004,1,1,0,1,300.02,300.02,2016-09-22 20:40:50,2016-09-22 20:40:50
C00005,6,6,0,0,32.593333333333334,58.45,2016-07-05 20:58:59,2016-12-17 22:52:42
C00006,3,0,3,1,78.35666666666667,117.02,2016-08-20 04:17:11,2016-12-23 20:13:07
C00007,1,1,0,1,69.95,69.95,2016-12-13 20:59:49,2016-12-13 20:59:49
C00008,53,6,47,6,84.38698113207548,663.99,2016-07-09 23:46:28,2016-12-30 20:23:10
C00009,1,0,1,1,140.91,140.91,2016-12-07 17:48:08,2016-12-07 17:48:08
C00010,2,0,2,1,42.27,57.95,2016-07-29 17:11:03,2016-08-14 22:23:11
C00011,3,0,3,1,77.94333333333334,107.9,2016-10-29 04:10:28,2016-12-03 22:10:53
C00012,3,0,3,1,61.946666666666665,107.94,2016-07-16 17:52:41,2016-09-16 22:13:58
C00013,1,1,0,0,140.4,140.4,2016-11-08 15:49:55,2016-11-08 15:49:55
C00014,1,0,1,1,25.92,25.92,2016-12-11 20:42:55,2016-12-11 20:42:55
C00015,2,1,1,1,86.015,100.08,2016-07-16 16:29:02,2016-11-07 15:10:24
C00016,3,1,2,1,443.3866666666667,994.09,2016-07-27 16:37:43,2016-12-04 12:47:53
C00017,5,0,5,2,46.588,116.91,2016-07-18 04:46:09,2016-12-27 23:38:29
C00018,3,3,0,0,57.38333333333333,66.39,2016-08-06 11:56:26,2016-11-06 16:17:27
C00019,15,8,7,4,80.04133333333333,210.02,2016-07-09 21:48:40,2016-12-17 18:20:26
C00020,34,0,34,1,77.09382352941176,117.05,2016-07-16 16:55:11,2016-12-28 22:38:43
C00021,2,0,2,1,122.005,170.93,2016-09-15 17:11:28,2016-09-22 22:18:43
C00022,13,0,13,7,85.45230769230768,226.04,2016-07-18 00:03:16,2016-11-09 06:30:16
C00023,3,0,3,1,235.58333333333334,556.49,2016-10-10 21:42:53,2016-12-26 17:05:28
C00024,2,0,2,2,697.4399999999999,1044.87,2016-08-12 14:58:34,2016-08-21 23:53:51
C00025,12,3,9,2,71.27166666666666,213.91,2016-07-11 16:03:55,2016-12-22 23:14:54
C00026,4,4,0,0,30.5175,62.3,2016-08-01 19:40:54,2016-08-01 19:50:39
C00027,6,6,0,0,51.71666666666667,102.37,2016-08-16 22:31:25,2016-12-18 01:58:05
C00028,1,0,1,1,824.02,824.02,2016-11-22 21:22:00,2016-11-22 21:22:00
C00029,16,0,16,1,76.49625,225.93,2016-09-29 19:22:21,2016-12-31 17:06:10
C00030,1,0,1,1,170.94,170.94,2016-10-22 18:49:41,2016-10-22 18:49:41
C00031,22,6,16,5,131.29863636363638,499.92,2016-07-13 17:26:25,2016-12-29 14:24:01
C00032,2,2,0,2,175.05,300.06,2016-08-19 15:48:47,2016-08-20 21:45:29
C00033,3,3,0,0,36.25,77.75,2016-07-27 01:47:07,2016-07-31 14:26:38
C00034,52,2,50,1,85.97653846153845,554.01,2016-07-07 16:01:54,2016-12-30 18:24:07
C00035,23,2,21,2,63.86739130434783,213.08,2016-07-29 18:29:14,2016-12-13 02:02:45
C00036,3,3,0,0,30.820000000000004,62.77,2016-07-21 09:13:39,2016-12-10 17:34:12
C00037,19,1,18,3,177.43526315789472,1103.97,2016-07-06 12:23:21,2016-12-22 17:01:33
