device_profile_id,device_type,device_info,os,browser,screen,txn_count,customer_count,card_count,specificity
DP-000e5d3984b47207,mobile,SM-G955U1 Build/NRD90M,,chrome 56.0 for android,,1,1,1,1.0
DP-000f0282a77ce8c3,mobile,,,android browser 4.0,,3,2,2,0.5
DP-001762ebc59a9008,mobile,M4 SS4456 Build/LMY47V,,M4Tel/M4,,1,1,1,1.0
DP-002361717d1ba43d,desktop,Windows,Windows Vista,aol,,1,1,1,1.0
DP-00391a0992a1800f,desktop,MacOS,Mac OS X 10_12_6,chrome 61.0,2560x1440,3,2,2,0.5
DP-003e816aaa8357ec,desktop,,Linux,chrome 55.0,1920x1080,2,1,1,1.0
DP-00463e730e9f3b63,desktop,MacOS,Mac OS X 10_13_3,chrome 65.0,1366x768,3,3,3,0.3333333333333333
DP-004ef731017d008f,mobile,SAMSUNG SM-G925P Build/MMB29K,,samsung browser 6.2,,4,2,2,0.5
DP-0056af0214fb691c,mobile,SM-G360T1 Build/LMY47X,,chrome 57.0 for android,,1,1,1,1.0
DP-005a0a4dcebb3097,mobile,SM-G920T Build/NRD90M,,chrome 63.0 for android,,2,1,1,1.0
DP-00644c04745ae53f,desktop,SM-A300M Build/KTU84P,,chrome generic,,3,2,2,0.5
DP-006963611e4e52d5,desktop,MacOS,Mac OS X 10_13_2,safari 11.0,1440x900,5,5,5,0.2
DP-006be67a992bd500,mobile,LG-D400,,chrome 64.0 for android,,1,1,1,1.0
DP-006fe8ee15bdbb18,mobile,SM-J500M Build/LMY48B,,chrome 62.0 for android,,9,5,5,0.2
DP-0078aa46c8ec3ab8,mobile,SM-J700H Build/MMB29K,,chrome 64.0 for android,,2,1,1,1.0
DP-007bba36de7ee256,desktop,SM-T113NU Build/KTU84P,,chrome generic,,3,3,3,0.3333333333333333
DP-007e0ed5227805e3,mobile,SAMSUNG,,samsung browser 4.0,,4,4,4,0.25
DP-00a0b57be88e2e84,desktop,Windows,,opera 49.0,,66,26,26,0.038461538461538464
DP-00a0d4c36088abbc,desktop,Trident/7.0,Windows 10,ie 11.0 for tablet,,119,73,73,0.0136986301369863
DP-00a58ad95a2639d0,mobile,SM-J700M Build/LMY48B,,chrome 59.0 for android,,1,1,1,1.0
DP-00a7c2156679b26c,mobile,LG-M400 Build/NRD90U,,chrome 60.0 for android,,1,1,1,1.0
