domain,domain_type,customer_count,card_count,txn_count
aim.com,both,117,117,338
anonymous.com,both,5180,5180,43612
aol.com,both,2973,2973,30223
att.net,both,827,827,4250
bellsouth.net,both,561,561,2175
cableone.net,both,54,54,175
centurylink.net,both,81,81,213
cfl.rr.com,both,72,72,197
charter.net,both,275,275,879
comcast.net,both,1488,1488,8830
cox.net,both,456,456,1643
earthlink.net,both,189,189,559
embarqmail.com,both,123,123,299
frontier.com,both,131,131,305
frontiernet.net,both,81,81,199
gmail,both,203,203,506
gmail.com,both,9406,9406,241182
gmx.de,both,35,35,150
hotmail.co.uk,both,40,40,113
hotmail.com,both,3589,3589,47201
hotmail.de,both,21,21,43
hotmail.es,both,68,68,306
hotmail.fr,both,82,82,297
icloud.com,both,1283,1283,7053
juno.com,both,140,140,358
live.com,both,829,829,3302
live.com.mx,both,84,84,758
live.fr,both,25,25,56
mac.com,both,271,271,557
mail.com,both,229,229,604
me.com,both,586,586,1822
msn.com,both,1049,1049,4516
netzero.com,both,88,88,241
netzero.net,both,78,78,203
optonline.net,both,228,228,1096
outlook.com,both,943,943,5423
outlook.es,both,79,79,439
prodigy.net.mx,both,62,62,207
protonmail.com,both,52,52,94
ptd.net,both,43,43,85
q.com,both,78,78,201
roadrunner.com,both,127,127,341
rocketmail.com,both,264,264,707
sbcglobal.net,both,727,727,3263
sc.rr.com,both,26,26,170
scranton.edu,recipient,3,3,63
servicios-ta.com,both,2,2,35
suddenlink.net,both,75,75,191
twc.com,both,89,89,244
verizon.net,both,592,592,3028
web.de,both,58,58,243
windstream.net,both,136,136,338
yahoo.co.jp,both,20,20,34
yahoo.co.uk,both,31,31,53
yahoo.com,both,6082,6082,107266
yahoo.com.mx,both,135,135,1546
yahoo.de,both,31,31,77
yahoo.es,both,71,71,141
yahoo.fr,both,66,66,150
ymail.com,both,590,590,2506
